Title,Views,Notes
New Madrid Seismic Zone,12,"OpenTopography —
The New Madrid Seismic Zone (NMSZ) has been responsible for producing some of the largest intraplate earthquakes on record (Tuttle et al., 2002). Paleoseismologic..."
Museums Universe Data File (MUDF) FY 2014 3rd Quarter,12,"Institute of Museum and Library Services —
The Museum Universe Data File (MUDF) contains information about known museums in the United States using data collected and aggregated from a variety of sources."
"NSSP Emergency Department Visits - COVID-19, Flu, RSV, Combined – by Demographic Category",12,"U.S. Department of Health & Human Services —
NSSP Emergency Department Visits - COVID-19, Flu, RSV, Combined – by Demographic Category For additional information, please see: Companion Guide: NSSP Emergency..."
People Released to Philadelphia from Prison & Jail,12,"City of Philadelphia —
This dataset includes people released to Philadelphia from the Philadelphia Department of Prisons (PDP) and the Pennsylvania Department of Correction (PA DOC)...."
NIST Ionic Liquids Database - ILThermo - SRD 147,12,"National Institute of Standards and Technology —
ILThermo is a web-based ionic liquids database available free to the public. It aims to provide users worldwide with up-to-date information on publications of..."
Real-Time Traffic Incident Reports,12,"City of Austin —
This dataset contains traffic incident information from the Austin-Travis County traffic reports collected from the various Public Safety agencies through a data..."
National Longitudinal Surveys,12,"U.S. Department of Labor Bureau of Labor Statistics —
The National Longitudinal Surveys (NLS) are a set of surveys designed to gather information at multiple points in time on the labor market activities and other..."
"TIGER/Line Shapefile, 2023, State, Colorado, Primary and Secondary Roads",12,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
North American Landscape Characterization,12,"National Aeronautics and Space Administration —
The North American Landscape Characterization (NALC) project is a component of the Landsat Pathfinder Program, which is part of a larger Pathfinder Program initiated..."
Hospital Annual Financial Disclosure Report – Complete Data Set,12,"State of California —
On an annual basis (individual hospital fiscal year), individual hospitals and hospital systems report detailed facility-level data on services capacity,..."
"Fault Rupture Mapping of the 6 February 2023 Kahramanmaraş, Türkiye, Earthquake Sequence from Satellite Data (ver. 1.1, February 2024)",12,"Department of the Interior —
This data release contains two datasets that depict fault rupture on the East Anatolian and Çardak faults resulting from the Mw7.8 and Mw7.5 earthquakes in Turkey..."
Federal Account Symbols and Titles: The FAST Book,12,"Department of the Treasury —
The FAST Book is Supplement 1 to Volume I of the Treasury Financial Manual. It lists receipt, appropriation, and other fund account symbols and titles assigned by the..."
Climate Land Cover (LANDFIRE Derived),12,"State of California —
Based primarily on the most recent release of LANDFIRE v2.0.0, this generalized land cover dataset provides full coverage of California including to the three..."
"Medicaid coverage among persons under age 65, by selected characteristics: United States",12,"U.S. Department of Health & Human Services —
Data on Medicaid coverage among persons under age 65 by selected population characteristics. Please refer to the PDF or Excel version of this table in the HUS 2019..."
VA Pharmacy Benefits Management Services,12,"Department of Veterans Affairs —
The VA Pharmacy Benefits Management Services offer a broad range of services and are committed to provide and deliver Veterans personalized, proactive, patient-driven..."
NHANES Select Chronic Conditions Prevalence Estimates,12,"U.S. Department of Health & Human Services —
These data represent prevalence estimates of select chronic conditions from the National Health and Nutrition Examination Survey (NHANES)."
"Vital Stats (Vital Statistics Tables and files- Births, Infant Deaths, Fetal Deaths)",12,"U.S. Department of Health & Human Services —
VitalStats: A collection of vital statistics products including tables, data files, and reports that allow users to access and examine vital statistics and population..."
Influenza Research Database (IRD),12,"U.S. Department of Health & Human Services —
The Influenza Research Database (IRD) serves as a public repository and analysis platform for flu sequence, experiment, surveillance and related data."
Solar Features - Solar Flares - Index,12,"National Oceanic and Atmospheric Administration, Department of Commerce —
Daily index of solar flare activity."
"TIGER/Line Shapefile, 2023, State, Louisiana, Primary and Secondary Roads",12,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
RANS Simulation VBM of Single Lab Scaled DOE RM1 MHK Turbine,12,"Department of Energy —
Attached are the .cas and .dat files for the Reynolds Averaged Navier-Stokes (RANS) simulation of a single lab-scaled DOE RM1 turbine implemented in ANSYS FLUENT CFD-..."
"Animal Control - Area Animal Shelters, Agencies, and Emergency Hospitals",12,"Cook County of Illinois —
This dataset contains Local Animal Shelters and Animal Control Agencies for Locating Lost Pet and Veterinary Emergency Hospitals around Cook County"
Algorithmic Tools Compliance Report,12,"City of New York —
Under Local Law 35 of 2022 (LL 35), City agencies are required to annually report on their use of algorithmic tools, including descriptions of the tool's use and..."
"TIGER/Line Shapefile, Current, County, Erie County, NY, All Roads",12,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
HCUP Nationwide Emergency Department Database (NEDS) Restricted Access File,12,"U.S. Department of Health & Human Services —
The Healthcare Cost and Utilization Project (HCUP) Nationwide Emergency Department Sample (NEDS) is the largest all-payer emergency department (ED) database in the..."
US Historic Declination Calculator,12,"National Oceanic and Atmospheric Administration, Department of Commerce —
This programs derives a table of secular change in magnetic declination for a specified point in the conterminous United States. It utilizes the USD polynomial and..."
BLM Natl GTLF Public Motorized Trails,12,"Department of the Interior —
This feature class is the BLM Natl GTLF Public Motorized Trails subset of the feature dataset containing the BLM Ground Transportation Linear Features. A linear..."
Utah FORGE: Well 16B(78)-32 Drilling Data,12,"Department of Energy —
This drilling data for Utah FORGE well 16B(78)-32 include a well survey, core summary, mud and mud temperature logs, daily reports of the drilling process, and..."
Juvenile Rehabilitation Annual Fact Sheet,12,"State of Washington —
The Juvenile Rehabilitation Annual Fact Sheet reports basic JR data, including: residential admissions, residential releases, average daily population, rate of parole..."
MTA Subway Origin-Destination Ridership Estimate: 2024,12,"State of New York —
This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return swipe data. It provides estimated passenger volumes for all..."
"Diversity, Equity, Inclusion, and Accessibility (DEIA)",12,"Department of Homeland Security —
Diversity, Equity, Inclusion, and Accessibility (DEIA): In FY 2022, DHS approved the FY 2022-FY 2026 ICE DEIA Strategic Plan and Directorate Implementation Plans,..."
Wells in Connecticut,12,"State of Connecticut —
Submitted online since January 1, 2021. Print a copy of an individual report at https://elicense.ct.gov and click on ""Public Reports"". (Note: You will need the DCP..."
Statewide Eligible Training Providers List,12,"City of Austin —
Eligible Training Providers (ETPs) are entities with job training programs approved by the Texas Workforce Commission (TWC) to provide Workforce Innovation and..."
OpenFEMA Data Sets,12,"Department of Homeland Security —
Metadata for the OpenFEMA API data sets. It contains attributes regarding the published datasets including but not limited to update frequency, description, version,..."
NOS Hydrographic Surveys Collection,12,"National Oceanic and Atmospheric Administration, Department of Commerce —
The National Oceanic and Atmospheric Administration (NOAA) has the statutory mandate to collect hydrographic data in support of nautical chart compilation for safe..."
Diabetes & Hypertension & Hyperlipidemia comorbidity,12,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
This data set provides de-identified population data for diabetes & hypertension & hyperlipidemia comorbidity prevelance. The data is provided by three..."
Department of Education Budget Tables,12,"Department of Education —
The Budget Tables page provides links to tables that illustrate key aspects of the Education Department Budget."
BLM OR Northern Spotted Owl Sites Publication Point Hub,12,"Department of the Interior —
NSO_SITE_PUB_PT: The Northern Spotted Owl (NSO) data standard documents how spatial location and information about inventory and monitoring activities for Northern..."
Preliminary Landslide Inventory for Landslides Triggered by Hurricane Helene (September 2024),12,"Department of the Interior —
We present a preliminary point inventory of landslides triggered by Hurricane Helene, which impacted southern Appalachia between September 25–27, 2024. This inventory..."
NHTSA's Office of Defects Investigation (ODI) - Early Warning Reporting - EWR,12,"Department of Transportation —
Manufacturers of motor vehicles, motor vehicle equipment, child safety systems, and tires are required to submit Early Warning Reporting (EWR) information and..."
"National Population Projections: Projected Population by Single Year of Age, Sex, Race, and Hispanic Origin for the United States: 2016-2060",12,"Department of Commerce —
Projected Deaths by Single Year of Age, Sex, Race, and Hispanic Origin for the United States: 2016-2060 // Source: U.S. Census Bureau, Population Division // There..."
USGS 10-m Digital Elevation Model (DEM): Guam,12,"National Oceanic and Atmospheric Administration, Department of Commerce —
A 10-meter resolution land surface digital elevation model (DEM) for the island of Guam from U.S. Geological Survey (USGS) 1/3 arc-second DEM quadrangles. For a..."
Utah FORGE 3-2417: Pulsed Interference Tests at Wells 16A(78)-32 and 16B(78)-32 - September 2024,12,"Department of Energy —
This archive contains data and a report from Pulse Interference Tests (PITs), which were conducted on September 4, 2024, immediately following a 30-day recirculation..."
Mars orbital image (HiRISE) labeled data set version 3,12,"National Aeronautics and Space Administration —
This data set contains a total of 73,031 landmarks. 10,433 landmarks were detected and extracted from 180 HiRISE browse images, and 62,598 landmarks were augmented..."
Ports and Port Statistical Areas,12,"Department of Transportation —
The Ports and Port Statistical Areas dataset is periodically updated by the United States Army Corp of Engineers (USACE) and is part of the U.S. Department of..."
ACS 5 Year Data by Community Area,12,"City of Chicago —
Selected variables from the most recent ACS Community Survey (Released 2023) aggregated by Community Area. Additional years will be added as they become available...."
"TIGER/Line Shapefile, 2023, County, Milwaukee County, WI, Topological Faces (Polygons With All Geocodes)",12,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
MTA Subway End-to-End Running Times: Beginning 2019,12,"State of New York —
This dataset provides information on the actual end-to-end running times for subway trips between their origin and destination stations, including the average, and..."
Federal Student Loan Program Data 2001-2003,12,"Department of Education —
This page provides links to the Federal Student Loan Program Data Books and to other data reports and compilations related to the Federal Student Loan Programs."
Iowa Medicaid Payments & Recipients by Month and County,12,"State of Iowa —
This dataset contains aggregate Medicaid payments, and counts for eligible recipients and recipients served by month and county in Iowa, starting with month ending..."
E-Government Service Portfolio - EIS,12,"State of Oregon —
Services provided by the Enterprise Information Services, E-Government Program for state of Oregon departments, boards, commissions, offices and branches of government."
Raw data of Legionella pneumophila determined by culture and Legiolert methods,12,"U.S. Environmental Protection Agency —
This Excel file contains all the raw data of Legionella pneumophila determined by both culture and Legiolert methods. Datasheets were prepared separately for each..."
Estimated Gasoline Sales: Beginning 1995,12,"State of New York —
Estimated gasoline sales data is derived from New York StateDepartment of Taxation and Finance data on gasoline sales andgasoline sales tax collections. Gasoline..."
Park Lands & Boundary -- Acadia National Park,12,"Department of the Interior —
Park Boundary polygons for Acadia National Park, Maine. Use attributes to distinguish between lands in fee-ownership, lands still to be acquired in fee-ownership in..."
"Dissolved inorganic carbon, alkalinity, temperature, salinity and other variables collected from discrete sample and profile observations using CTD, bottle and other instruments from KNORR in the North Atlantic Ocean, North Greenland Sea and others from 1972-07-18 to 1973-04-01 (NCEI Accession 0143398)",12,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset includes discrete sample and profile data collected from KNORR in the North Atlantic Ocean, North Greenland Sea, Norwegian Sea, South Atlantic Ocean and..."
"Safe Drinking Water Information System (SDWIS) Federal Reporting Services (Jan. 1, 2010 to Dec. 31, 2017)",12,"U.S. Environmental Protection Agency —
This dataset is made up of seven separate reports from the U.S. Environmental Protection Agency's (USEPA) Safe Drinking Water Information System (SDWIS). Site visits..."
EPA Envirofacts API,12,"U.S. Environmental Protection Agency —
Envirofacts integrates information from a variety of EPA's environmental databases. Each of these databases contains information about facilities that are required to..."
ReCiPe2016v1.1 for FEDEFLv1,12,"U.S. Environmental Protection Agency —
ReCiPe2016 (Huijbregts 2017) is a life cycle impact assessment (LCIA) method. LCIA methods are collections of characterization factors, which are measures of relative..."
University of Idaho Daily Meteorological data for continental US,12,"Department of the Interior —
This archive contains daily surface meteorological (METDATA) data for the Continental United States at 4-km (1/24-deg) resolution. The meteorological variables are..."
NYC 3D Model by Community District,12,"City of New York —
The NYC 3D Model by Community District is a publicly available model consisting of every building in New York City present in 2014. The model is based on DOITT’s..."
Patient Advocate Tracking System (PATS),12,"Department of Veterans Affairs —
The Patient Advocate Tracking System (PATS) is a centralized, web based application that records and tracks instances of patient compliments and complaints concerning..."
"Utility-Scale Solar, 2024 Edition: Analysis of Empirical Plant-level Data from U.S. Ground-mounted PV, PV+battery, and CSP Plants (exceeding 5 MWAC)",12,"Department of Energy —
Berkeley Labs ""Utility-Scale Solar"", 2024 Edition presents analysis of empirical plant-level data from the U.S. fleet of ground-mounted photovoltaic (PV), PV+battery,..."
Death Probabilities for Males (2011-2090),12,"Social Security Administration —
The following tables provide historical and projected probabilities of death by age, sex, and year for the period 2011 - 2090. Death probabilities for males."
Crime Incidents in 2023,12,"District of Columbia —
The dataset contains a subset of locations and attributes of incidents reported in the ASAP (Analytical Services Application) crime report database by the District of..."
Professional Medical Billing Services (SV1) Detail Information,12,"City of Austin —
The Texas Department of Insurance, Division of Workers' Compensation (DWC) maintains a database of professional medical billing services (SV1). It contains charges,..."
"Floodplain Mapping Submission for Douglas County, Oregon",12,"Federal Emergency Management Agency, Department of Homeland Security —
The Floodplain Mapping study deliverables depict and quantify the flood risks for the study area. The primary risk classifications used are the 1-percent annual..."
LBA-ECO CD-06 Amazon River Basin Land and Stream Drainage Direction Maps,12,"National Aeronautics and Space Administration —
This data set provides high-resolution (~500 m) gridded land and stream drainage direction maps for the Amazon River basin, excluding the Rio Tocantins basin. These..."
Data from: Heritable differences in abundance of bacterial rhizosphere taxa are correlated with fungal necrotrophic pathogen resistance,12,"Department of Agriculture —
This Ag Data Commons submission includes the 94 sunflower paired-end sequencing FASTQ files, the corresponding 16S bacterial FASTQ files, and other relevant data to..."
"Blood Parasite Infection Data from Spectacled Eiders (Somateria fischeri), Alaska, 2008-2012",12,"Department of the Interior —
This dataset includes two spreadsheets associated with a study of three genera of blood parasites (Leucocytozoon, Haemoproteus, Plasmodium) in 185 Spectacled Eiders..."
"DPSCS Releasees Returned to Corrections within One, Two, and Three Years of Release: 1999 - 2012",12,"State of Maryland —
The key metric of recidivism for Maryland and for the Department of Public Safety and Correctional Services (DPSCS) is the cumulative percentage of releasees who..."
RACT/BACT/LAER Clearninghouse (RBLC),12,"U.S. Environmental Protection Agency —
OAR's RACT, BACT, LAER Clearinghouse (RBLC) data asset contains summary information on selected air permitting actions from EPA, state, and local permitting agencies..."
City of Sioux Falls Traffic Cameras,12,"City of Sioux Falls —
Web mapping application containing traffic cameras for Sioux Falls, South Dakota."
Intersection Safety Challenge Stage 1B Sample,12,"Department of Transportation —
This dataset was collected as part of the U.S. Department of Transportation (U.S. DOT) Intersection Safety Challenge (hereafter, “the Challenge”) for Stage 1B: System..."
2023 Annual Technology Baseline (ATB) Cost and Performance Data for Electricity Generation Technologies,12,"Department of Energy —
These data provide the 2023 update of the Electricity Annual Technology Baseline (ATB). Starting in 2015 NREL has presented the ATB, consisting of detailed cost and..."
International Database: Time Series International Database: International Populations by Single Year of Age and Sex,12,"Department of Commerce —
Midyear population estimates and projections for all countries and areas of the world with a population of 5,000 or more // Source: U.S. Census Bureau, Population..."
"TIGER/Line Shapefile, 2022, State, Alaska, AK, Census Tract",12,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
OATH Trials Division Case Status,12,"City of New York —
The OATH Trials Division dataset contains information about a diverse range of complex administrative law matters that are filed by city agencies, boards, and..."
MODIS/Terra Clouds 5-Min L2 Swath 1km and 5km,12,"National Aeronautics and Space Administration —
The MODIS/Terra Clouds 5-Min L2 Swath 1km and 5km product (MOD06_L2) consists of cloud optical and physical parameters. These parameters are derived using remotely..."
"Sidewalk to Street ""Walkability"" Ratio",12,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
We’ve been asked to create measures of communities that are “walkable” for several projects. While there is no standard definition of what makes a community..."
MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 0.05Deg CMG V061,12,"National Aeronautics and Space Administration —
The Terra and Aqua combined Moderate Resolution Imaging Spectroradiometer (MODIS) Land Cover Climate Modeling Grid (CMG) (MCD12C1) Version 6.1 data product provides a..."
Quality Time for Students: Learning In and Out of School,12,"Department of State —
At a time when OECD and partner countries are trying to figure out how to reduce burgeoning debt and make the most of shrinking public budgets, spending on education..."
Revitalization Areas,12,"Department of Housing and Urban Development —
Revitalization areas are HUD-designated neighborhoods in need of economic and community development and where there is already a strong commitment by the local..."
Gulf of Mexico Region NAD27 Official Protraction Diagrams and Lease Maps Images,12,"Department of the Interior —
Within the Gulf of Mexico, there are two types of maps that depict blocks that could be leased. An older format, known as the Leasing Map, was based on Texas or..."
California Inpatient Severe Sepsis,12,"State of California —
The datasets include severe sepsis information on 1) the number of severe sepsis cases, percent of hospital-acquired and non-hospital-acquired severe sepsis cases,..."
Census of State and Federal Adult Correctional Facilities Series,12,"Department of Justice —
Investigator(s): Bureau of Justice Statistics This series of studies contains a descriptive analysis of federal and state-operated adult confinement and correctional..."
"NOAA Climate Data Record (CDR) of AVHRR Normalized Difference Vegetation Index (NDVI), Version 5",12,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset contains gridded daily Normalized Difference Vegetation Index (NDVI) derived from the NOAA Climate Data Record (CDR) of Advanced Very High Resolution..."
Political Boundaries - Oceania,12,"National Oceanic and Atmospheric Administration, Department of Commerce —
Political boundaries of Oceania, Pacific Ocean."
Heavy Truck Sales,12,"Department of Transportation —
Heavy trucks include trucks with more than 14,000 pounds gross vehicle weight. Prior to the 2003 Benchmark Revision heavy trucks were more than 10,000 pounds. The..."
List of National Geospatial Data Assets (NGDAs) Portfolio Datasets As Endorsed by the Federal Geospatial Data Committee (FGDC),12,"Federal Geographic Data Committee —
An National Geospatial Data Asset (NGDA) is defined as a geospatial dataset that has been designated by the FGDC Steering Committee and meets at least one of the..."
Decennial Census: 118th Congressional District Summary File,12,"Department of Commerce —
The Congressional District Summary File (118th Congress) (CD118) contains the data compiled from the questions asked of all people and about every housing unit in the..."
Civilian Unemployment Rate for US and California,12,"State of California —
This dataset contains unemployment rates for the U.S.(1948 - Present) and California (1976 - Present). The unemployment rate represents the number of unemployed as a..."
Exporter Database,12,"Department of Commerce —
This tool provides a statistical overview and tables outlining the export activities of U.S. small and medium-sized enterprises (SMEs), which are defined as firms..."
"Expenditures on Children by Families, 2015",12,"Department of Agriculture —
Since 1960, the U.S. Department of Agriculture has provided estimates of expenditures on children from birth through age 17. This technical report presents the most..."
Active Projects Under Construction,12,"City of New York —
New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction."
Wine Statistics,12,"Department of the Treasury —
Data for Wine Statistical Releases is derived directly from the Report of Wine Premises Operations Form 5120.17. This form must be filed with TTB 15 days after the..."
Travel Time to Work,12,"Department of Transportation —
The Travel Time to Work dataset was compiled using information from December 31, 2023 and updated December 12, 2024 from the Bureau of Transportation Statistics (BTS)..."
MTA NYCT MetroCard History: 2010 - 2021,12,"State of New York —
This archival dataset shows the number of MetroCard swipes made each week by customers entering each station of the New York City Subway, Staten Island Railway, PATH,..."
Workforce Individual Performance Record Data,12,"Department of Labor —
Workforce Individual Performance Record Data: The Workforce Individual Performance Record Data is data ETA collects from grantees on a quarterly basis via form..."
Property Address Directory,12,"City of New York —
The PAD (Property Address Directory) file contains additional geographic information at the tax lot level not found in the PLUTO files. This data includes alias..."
"NCES-Barron's Admissions Competitiveness Index Data Files: 1972, 1982, 1992, 2004, 2008, 2014",12,"Department of Education —
The NCES-Barron's Admissions Competitiveness Index Data Files: 1972, 1982, 1992, 2004, 2008, 2014 (NCES 2015-332) contain the Barron's college admissions..."
"Study of Race, Crime, and Social Policy in Oakland, California, 1976-1982",12,"Department of Justice —
In 1980, the National Institute of Justice awarded a grant to the Cornell University College of Human Ecology for the establishment of the Center for the Study of..."
Metal Content of Consumer Products Tested by the NYC Health Department,12,"City of New York —
This is an official DOHMH dataset. Creating derivative/community datasets based on this dataset is allowed so long as it is done in a manner that is not misleading..."
"PLACES: ZCTA Data (GIS Friendly Format), 2024 release",12,"U.S. Department of Health & Human Services —
This dataset contains model-based ZIP Code Tabulation Area (ZCTA) level estimates in GIS-friendly format. PLACES covers the entire United States—50 states and the..."
USGS 1 arc-second Digital Elevation Model,12,"OpenTopography —
This is a 1 arc-second (approximately 30 m) resolution tiled collection of the 3D Elevation Program (3DEP) seamless data products . 3DEP data serve as the elevation..."
Philadelphia Properties and Assessment History,12,"City of Philadelphia —
Some of the information in the open data files below may not yet reflect the data used to calculate the most recent tax year’s property value. If you see missing or..."
Age & Sex - ACS 2018-2022 - Tempe Tracts,12,"City of Tempe —
This layer shows age and sex demographics. Data is from US Census American Community Survey (ACS) 5-year estimates.This layer is symbolized to the percent of the..."
"Daymet: Daily Surface Weather Data on a 1-km Grid for North America, Version 3",12,"Department of the Interior —
This data set provides Daymet Version 3 model output data as gridded estimates of daily weather parameters for North America and Hawaii: including Canada, Mexico, the..."
Strategic Measure_Number of persons experiencing homelessness - Point in Time Count,12,"City of Austin —
This dataset provides information on individuals experiencing sheltered or unsheltered homelessness in the Austin/Travis County Continuum of Care (CoC) on a single..."
STATSGO soil characteristics for the conterminous United States,12,"Department of the Interior —
This digital data release consists of an ARC/INFO grid and associated INFO tables. The grid is called MUID and has STATSGO (U.S. Department of Agriculture, 1994) soil..."
BOREAS TF-04 CO2 and CH4 Chamber Flux Data from the SSA,12,"National Aeronautics and Space Administration —
Contains fluxes of carbon dioxide and methane across the soil-air interface in four ages of jack pine forest at the Southern Study Area. Gross and net flux of CO2 and..."
NYC Zoning Tax Lot Database,12,"City of New York —
The Zoning Tax Lot Database is a comma-separated values (CSV) file that contains up-to-date zoning by parcel. The Database includes the zoning designations and..."
"2023 Cartographic Boundary File (SHP), County and Equivalent for United States, 1:5,000,000",12,"U.S. Census Bureau, Department of Commerce —
The 2023 cartographic boundary shapefiles are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File /..."
"TIGER/Line Shapefile, Current, State, Louisiana, Census Tract",12,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
VHA Support Service Center Primary Care Management Module (PCMM),12,"Department of Veterans Affairs —
The Primary Care Management Module (PCMM) was developed to assist VA facilities in implementing Primary Care. PCMM supports both Primary Care and non-Primary Care..."
EMAG2: Earth Magnetic Anomaly Grid (2-arc-minute resolution),12,"National Oceanic and Atmospheric Administration, Department of Commerce —
EMAG2 is a global Earth Magnetic Anomaly Grid compiled from satellite, ship, and airborne magnetic measurements. It is a significant update of our previous candidate..."
Natural Gas Receipt Delivery Points,12,"Department of Homeland Security —
Homeland Infrastructure Foundation-Level Data (HIFLD) geospatial data sets containing information on Natural Gas Receipt Delivery Points."
Data for satellites predict lakes at risk from cyanobacteria and microcystin toxins,12,"U.S. Environmental Protection Agency —
Data for analysis for modeling probability of measuring microcystin toxin, cyanobacteria cell abundance, and chlorophyll a concentration in ~2,200 lakes based on..."
"TIGER/Line Shapefile, 2019, Series Information for the opological Faces (Polygons With All Geocodes) County-based Shapefile",12,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
MODIS/Terra+Aqua Surface Radiation Daily/3-Hour L3 Global 1km SIN Grid V062,12,"National Aeronautics and Space Administration —
The MCD18A1 Version 6.2 is a Moderate Resolution Imaging Spectroradiometer (MODIS) Terra and Aqua combined Downward Shortwave Radiation (DSR) gridded Level 3 product..."
"Digital Geologic-GIS Map of Isle Royale National Park and Vicinity, Michigan (NPS, GRD, GRI, ISRO, ISRO digital map) adapted from a U.S. Geological Survey Miscellaneous Geologic Investigations Map by Huber (1973), Professional Paper map by Wolff and Huber (1973), and a 7.5' Topographic Quadrangles map (1996)",12,"Department of the Interior —
The Digital Geologic-GIS Map of Isle Royale National Park and Vicinity, Michigan is composed of GIS data layers and GIS tables, and is available in the following GRI-..."
Pittsburgh City Boundary,12,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
Pittsburgh City Boundary"
Mild Thyroid Hormone Insufficiency During Development Compromises Activity-Dependent Neuroplasticity in the Hippocampus of Adult Male Rats,12,"U.S. Environmental Protection Agency —
behavioral measures of learning and memory in adult offspring of rats treated with thyroid hormone synthesis inhibitor, propylthiouracil. Electrophysiological..."
2024 State Employee Pay,12,"State of Missouri —
Pay Information for calendar year 2024 for the employees of the State of Missouri by their Agency of employment, Position Title or Employee name."
Rail Yards,12,"Department of Transportation —
The North American Rail Network (NARN) Rail Yards dataset was created in 2024 and was updated on January 29, 2025 from the Federal Railroad Administration (FRA) and..."
Auto Sales Seasonally Adjusted Annual Rate (SAAR),12,"Department of Transportation —
Autos include all passenger cars, including station wagons. The U.S. Bureau of Economic Analysis releases auto and truck sales data, which are used in the preparation..."
Frequent Transit Network,12,"City of Seattle —
Frequent, reliable transit service is the foundation of a transportation system that empowers all travelers and makes Seattle a truly transit-friendly city. A robust..."
2000 Average Monthly Sea Surface Temperature for California,12,"National Oceanic and Atmospheric Administration, Department of Commerce —
The NOAA/ NASA AVHRR Oceans Pathfinder sea surface temperature data are derived from the 5-channel Advanced Very High Resolution Radiometers (AVHRR) on board the NOAA..."
Traffic Crashes - Vision Zero Chicago Traffic Fatalities,12,"City of Chicago —
Traffic fatalities within the City of Chicago that are included in Vision Zero Chicago (VZC) statistics. Vision Zero is Chicago’s commitment to eliminating fatalities..."
eCigarette Excise Tax,12,"Montgomery County of Maryland —
This dataset contains information of excise taxes paid by distributors that sell e-cigarettes. Update Frequency : Daily"
"Growth and Yield Data for the Bushland, Texas, Soybean Datasets",12,"Department of Agriculture —
This dataset consists of growth and yield data for each season when soybean [Glycine max (L.) Merr.] was grown for seed at the USDA-ARS Conservation and Production..."
OLDMEDLINE Data,12,"U.S. Department of Health & Human Services —
The OLDMEDLINE subset in PubMed® represents journal article citations from two print indexes: Cumulated Index Medicus (CIM) and the Current List of Medical Literature..."
EPA Facility Registry Service (FRS): ER_FRP,12,"U.S. Environmental Protection Agency —
This dataset contains location and facility identification information from EPA's Facility Registry System (FRS) for the subset of facilities that link to Facility..."
Travel Warnings,11,"Department of State —
Travel Advisories are issued to describe long-term, protracted conditions that make a country dangerous or unstable. A Travel Advisory is also issued when the U.S...."
Preliminary U.S. Space Economy Data,4,"Department of Commerce —
BEA has developed a preliminary set of statistics measuring the contributions of space-related industries to the overall U.S. economy.These estimates give business..."
RadNet Map Interface for Near-Real-Time Radiation Monitoring Data,16,"U.S. Environmental Protection Agency —
RadNet is a national network of monitoring stations that regularly collect air, precipitation, drinking water, and milk samples for analysis of radioactivity. The..."
Energy Data and Statistics from U.S. States,31,"Department of Energy —
State-level data on all energy sources. Data on production, consumption, reserves, stocks, prices, imports, and exports. Data are collated from state-specific data..."
Trademark Assignment Data for Academia and Researchers (1952 - 2021),7,"Department of Commerce —
Contains detailed information on 786,931 assignments and other transactions recorded at the USPTO between 1952 and 2020 and involving 1,491,485 million unique..."
Global Warming Potentials (GWP) of ODS Substitutes,7,"U.S. Environmental Protection Agency —
This site includes the global warming potential (GWP) of ozone depleting substance substitutes, their atmospheric lifetime, and uses."
Inspector General webpage,2,"Department of Energy —
Office of Inspector General mission is to help the Department and the American taxpayer by: --Identifying opportunities for cost savings and operational efficiencies..."
National Nuclear Security Administration Policies and Supplemental Directives,6,"Department of Energy —
NNSA uses NNSA Policies (NAPs) and Supplemental Directives (SDs) as its primary means to establish, communicate, and institutionalize policies, requirements,..."
EPA Enforcement and Compliance History Online: Hazardous Waste Sites Data Set,17,"U.S. Environmental Protection Agency —
The Enforcement and Compliance History Online (ECHO) data sets have been compiled for access to larger sets of national data to ensure that ECHO meets your data..."
Mobile Source Emissions Regulatory Compliance Data,6,"U.S. Environmental Protection Agency —
The Engine and Vehicle Compliance Certification and Fuel Economy Inventory contains measured emissions and fuel economy compliance information for all types of..."
Community Anchor Institutions API - By Geography Type and Geography ID,1,"Department of Commerce —
This API returns the broadband availability among the Community Anchor Institutions by geography type and ID."
